titles,genres,score,reviewed_by
NieR Replicant Ver. 1.22474487139 ,RPG,8,Mitchell Saltzman
MLB The Show 21 ,Sports,8,Gabriel Moss
Outriders ,Shooter,7,Jon Ryan
Pac-Man 99 ,Action,7,Seth G. Macy
Oddworld: Soulstorm ,Adventure,7,Travis Northup
Magic Legends Open Beta ,RPG,5,David Jagneaux
Doom 3: VR Edition ,Shooter,5,Gabriel Moss
Disco Elysium - The Final Cut ,RPG,10,Simon Cardy
Balan Wonderworld ,Platformer,4,Tom Marks
Can't Drive This ,Racing,7,Luke Reilly
Narita Boy ,Adventure,6,Mitchell Saltzman
Evil Genius 2: World Domination ,Strategy,6,Leana Hafer
Immortals Fenyx Rising - Myths of the Eastern Realm ,Action,6,Cam Shea
It Takes Two ,Platformer,9,Tristan Ogilvie
Paradise Lost ,Adventure,5,Tristan Ogilvie
Doom Eternal: The Ancient Gods Part 2 ,Shooter,8,Ryan McCaffrey
Monster Hunter Rise ,Action,8,Tom Marks
Story of Seasons: Pioneers of Olive Town ,RPG,7,Rebekah Valentine
Loop Hero ,RPG,8,Jon Bolding
The Outer Worlds: Murder on Eridanos DLC ,RPG,7,Dan Stapleton
Apex Legends  - 2021,Shooter,9,Stella Chung
PixelJunk Raiders ,RPG,4,Joseph Knoop
Dead By Daylight ,Action,9,Mike Epstein
Harvest Moon: One World ,RPG,5,Rebekah Valentine
Cyanide & Happiness - Freakpocalypse ,Adventure,5,Tristan Ogilvie
Monster Energy Supercross – The Official Videogame 4 ,Racing,6,Luke Reilly
Stronghold Warlords ,Strategy,7,Leana Hafer
Monster Jam Steel Titans 2 ,Racing,5,Luke Reilly
The Climb 2 ,Sports,7,Gabriel Moss
Breathedge ,Adventure,5,Jonathan Bolding
Maquette ,Puzzle,7,Tom Marks
Bravely Default 2 ,RPG,8,Seth Macy
Curse of the Dead Gods ,RPG,9,Mitchell Saltzman
Ghosts 'n Goblins Resurrection ,Platformer,8,Tristan Ogilvie
Ys IX: Monstrum Nox ,RPG,8,Nadia Oxford
Super Mario 3D World + Bowser's Fury ,Platformer,7,Cam Shea
Persona 5 Strikers ,Action,8,Tom Marks
Little Nightmares 2 ,Adventure,7,Tristan Ogilvie
Destruction AllStars ,Racing,6,Simon Cardy
Werewolf: The Apocalypse - Earthblood ,Adventure,4,Leana Hafer
Blue Fire ,Platformer,8,Brendan Graeber
The Last Campfire ,Adventure,9,Simon Cardy
Olija ,Platformer,7,Mitchell Saltzman
Skul: The Hero Slayer ,Platformer,8,Travis Northup
Cyber Shadow ,Action,8,Mitchell Saltzman
Everspace 2 Early Access ,Shooter,7,Dan Stapleton
Hitman 3 ,Action,9,Luke Reilly
Factorio ,Strategy,8,Leana Hafer
Among Us ,Action,9,Leana Hafer
Monster Train ,RPG,9,Dan Stapleton
Cyberpunk 2077 for Xbox One and PlayStation 4 ,RPG,4,Destin Legarie
Gears 5: Hivebusters DLC ,Shooter,8,Brian Barnett
Medal of Honor: Above and Beyond ,Shooter,6,Gabriel Moss
World of Warcraft: Shadowlands ,RPG,8,Leana Hafer
FIFA 21 ,Sports,7,Simon Cardy
Call of the Sea ,Adventure,9,Simon Cardy
Cyberpunk 2077 PC ,RPG,9,Tom Marks
Haven ,RPG,8,Kyle Campbell
Empire of Sin ,Strategy,4,Jonathan Bolding
Twin Mirror ,Adventure,5,Tristan Ogilvie
Immortals Fenyx Rising ,Action,7,Cam Shea
Destiny 2: Beyond Light ,Shooter,7,Travis Northup
Sackboy: A Big Adventure ,Adventure,8,Tom Marks
Dirt 5 ,Racing,8,Luke Reilly
Hyrule Warriors: Age of Calamity ,Action,9,Cam Shea
Call of Duty: Black Ops Cold War Zombies ,Shooter,7,David Jagneaux
Call of Duty: Black Ops Cold War Multiplayer ,Shooter,6,Simon Cardy
NBA 2K21 for Xbox Series X and PlayStation 5 ,Sports,7,Ben Vollmer
Demon's Souls ,Action,9,Mitchell Saltzman
Marvel's Spider-Man Remastered ,Action,9,Jonathon Dornbush
Godfall ,Shooter,6,Tom Marks
Game & Watch: Super Mario Bros. ,Platformer,9,Seth G. Macy
Call of Duty: Black Ops Cold War – Campaign ,Shooter,7,Ryan McCaffrey
The Pathless ,Adventure,8,Jonathon Dornbush
Monster Truck Championship ,Racing,7,Luke Reilly
Bugsnax ,Adventure,8,Simon Cardy
Assassin's Creed Valhalla ,Adventure,8,Brandin Tyrrel
